"","cod","year","muni.x","uf","voto","reg","metro","population","gdppc","real_gdp","homicide","metro.NA","muni.y"
"88",1100379,2018,"alto alegre dos parecis","RO",37.19,"Norte",NA,13993,16438.94,207270.43,14.29286072,0,"Alto Alegre dos Parecis"
"89",1100403,2006,"alto paraiso","RO",58.156,"Norte",NA,16504,4553.07804168686,162471.16,12.11827436,0,"Alto Paraiso"
"90",1100403,2010,"alto paraiso","RO",49.182,"Norte",NA,17169,7689.14904770225,213952.44,52.42005941,0,"Alto Paraiso"
"91",1100403,2014,"alto paraiso","RO",50.76,"Norte",NA,17742,11605.59,245114.99,11.27268628,0,"Alto Paraiso"
"92",1100403,2018,"alto paraiso","RO",28.36,"Norte",NA,20569,13957.19,258680.31,48.6168506,0,"Alto Paraiso"
"93",1100452,2006,"buritis","RO",45.902,"Norte",NA,42686,3790.56365084571,349841.42,30.4549501,0,"Buritis"
"94",1100452,2010,"buritis","RO",39.087,"Norte",NA,33879,7995.51344490687,439006.46,56.08193866,0,"Buritis"
"95",1100452,2014,"buritis","RO",43.15,"Norte",NA,33397,12091.06,480698.27,80.84558493,0,"Buritis"
"96",1100452,2018,"buritis","RO",22.63,"Norte",NA,38450,15123.8,523974.39,83.22496749,0,"Buritis"
"97",1100502,2006,"novo horizonte do oeste","RO",60.207,"Norte",NA,12915,5381.10723964382,150261.61,15.48586914,0,"Novo Horizonte do Oeste"
"98",1100502,2010,"novo horizonte do oeste","RO",56.905,"Norte",NA,9966,8505.31808147702,137374.28,10.03411599,0,"Novo Horizonte do Oeste"
"99",1100502,2014,"novo horizonte do oeste","RO",55.86,"Norte",NA,9933,10558.07,124843.11,0,0,"Novo Horizonte do Oeste"
"100",1100502,2018,"novo horizonte do oeste","RO",38.76,"Norte",NA,10161,14791.65,135427.26,9.841551028,0,"Novo Horizonte do Oeste"
"101",1100601,2006,"cacaulandia","RO",44.363,"Norte",NA,5464,7326.317715959,86552.26,54.90483163,0,"Cacaulândia"
"102",1100601,2010,"cacaulandia","RO",43.636,"Norte",NA,5707,10970.5624671456,101468.38,17.52234098,0,"Cacaulândia"
"103",1100601,2014,"cacaulandia","RO",44.68,"Norte",NA,5791,15669.42,108021.25,34.53634951,0,"Cacaulândia"
"104",1100601,2018,"cacaulandia","RO",26.08,"Norte",NA,6414,20886.57,120711.17,15.59089492,0,"Cacaulândia"
"105",1100700,2006,"campo novo de rondonia","RO",46.663,"Norte",NA,18606,2862.62495969042,115159.41,37.62227239,0,"Campo Novo de Rondonia"
"106",1100700,2010,"campo novo de rondonia","RO",44.947,"Norte",NA,12790,7062.39249413604,146391.67,15.63721658,0,"Campo Novo de Rondonia"
"107",1100700,2014,"campo novo de rondonia","RO",52.14,"Norte",NA,12847,12160.68,185977.22,85.62310267,0,"Campo Novo de Rondonia"
"108",1100700,2018,"campo novo de rondonia","RO",33.23,"Norte",NA,14354,15398.06,199155.5,13.93339836,0,"Campo Novo de Rondonia"
"109",1100809,2006,"candeias do jamari","RO",71.268,"Norte",NA,17338,5385.16553235667,201873.83,28.83838966,0,"Candeias do Jamari"
"110",1100809,2010,"candeias do jamari","RO",63.789,"Norte",NA,17147,8099.08438793958,225070.22,46.65539161,0,"Candeias do Jamari"
"111",1100809,2014,"candeias do jamari","RO",61.23,"Norte","RM Porto Velho",20787,12863.47,318310.46,72.16048492,1,"Candeias do Jamari"
"112",1100809,2018,"candeias do jamari","RO",38.82,"Norte","RM Porto Velho",24719,16170.5,360170.11,64.72753752,1,"Candeias do Jamari"
"113",1100908,2006,"castanheiras","RO",60.458,"Norte",NA,4092,6313.29423264907,55856.49,24.43792766,0,"Castanheiras"
"114",1100908,2010,"castanheiras","RO",57.897,"Norte",NA,3737,9591.91865132459,58092.83,26.7594327,0,"Castanheiras"
"115",1100908,2014,"castanheiras","RO",61.62,"Norte",NA,3479,13471.59,55792.69,28.74389192,0,"Castanheiras"
"116",1100908,2018,"castanheiras","RO",41.18,"Norte",NA,3583,19165.44,61875.67,0,0,"Castanheiras"
"117",1100924,2006,"chupinguaia","RO",53.26,"Norte",NA,6647,9838.87468030691,141401.19,15.04438092,0,"Chupinguaia"
"118",1100924,2010,"chupinguaia","RO",46.323,"Norte",NA,7633,15795.3622428927,195397.42,52.40403511,0,"Chupinguaia"
"119",1100924,2014,"chupinguaia","RO",44.74,"Norte",NA,8721,27400,284457.24,22.93314987,0,"Chupinguaia"
"120",1100924,2018,"chupinguaia","RO",32.98,"Norte",NA,10364,26538.27,247829.77,48.24392127,0,"Chupinguaia"
"121",1100940,2006,"cujubim","RO",44.049,"Norte",NA,9233,5283.33152821401,105470.9,86.64572728,0,"Cujubim"
"122",1100940,2010,"cujubim","RO",37.241,"Norte",NA,14122,7675.75414247274,175675.51,56.64919983,0,"Cujubim"
"123",1100940,2014,"cujubim","RO",42.26,"Norte",NA,17262,12802.87,263086.79,63.72378635,0,"Cujubim"
"124",1100940,2018,"cujubim","RO",26.3,"Norte",NA,21720,14517.11,284114.48,41.43646409,0,"Cujubim"
"125",1101005,2006,"governador jorge teixeira","RO",36.055,"Norte",NA,18777,3768.86616605422,153009.67,5.325664377,0,"Governador Jorge Teixeira"
"126",1101005,2010,"governador jorge teixeira","RO",39.839,"Norte",NA,11793,8058.00050877639,154008.81,8.479606546,0,"Governador Jorge Teixeira"
"127",1101005,2014,"governador jorge teixeira","RO",47.95,"Norte",NA,10040,11826.21,141344.73,9.960159363,0,"Governador Jorge Teixeira"
"128",1101005,2018,"governador jorge teixeira","RO",32.06,"Norte",NA,9933,16447.33,147206.79,70.4721635,0,"Governador Jorge Teixeira"
"129",1101104,2006,"itapua do oeste","RO",63.302,"Norte",NA,8695,5442.32317423807,102314.19,11.50086256,0,"Itapua do Oeste"
"130",1101104,2010,"itapua do oeste","RO",58.846,"Norte",NA,8110,9571.39334155364,125802.71,12.33045623,0,"Itapua do Oeste"
"131",1101104,2014,"itapua do oeste","RO",60.57,"Norte",NA,8830,14512.06,152541.84,11.32502831,0,"Itapua do Oeste"
"132",1101104,2018,"itapua do oeste","RO",37.51,"Norte",NA,10155,15152.5,138649.44,68.93156081,0,"Itapua do Oeste"
"133",1101203,2006,"ministro andreazza","RO",53.064,"Norte",NA,11223,4755.23478570792,115388.6,26.73082064,0,"Ministro Andreazza"
"134",1101203,2010,"ministro andreazza","RO",46.661,"Norte",NA,10653,8074.53299540036,139406.59,9.387027129,0,"Ministro Andreazza"
"135",1101203,2014,"ministro andreazza","RO",47.06,"Norte",NA,10203,12232.36,148572.97,19.60207782,0,"Ministro Andreazza"
"136",1101203,2018,"ministro andreazza","RO",34.83,"Norte",NA,10786,17577.06,170828.03,55.62766549,0,"Ministro Andreazza"
"137",1101302,2006,"mirante da serra","RO",50.323,"Norte",NA,14150,4867.20848056537,148908.11,7.067137809,0,"Mirante da Serra"
